time_lsl,uV
80940.34765750154,-19.0
80940.3553398276,-19.0
80940.36302215366,-19.0
80940.37070447973,-22.0
80940.3783868058,-24.0
80940.38606913186,-26.0
80940.39375145792,-26.0
80940.40143378398,-29.0
80940.40911611005,-34.0
80940.41679843611,-39.0
80940.42448076217,-46.0
80940.43216308823,-61.0
80940.43984541431,-73.0
80940.44752774037,-78.0
80940.45521006643,-85.0
80940.46289239249,-92.0
80940.47057471857,-97.0
80940.47825704463,-100.0
80940.48593937069,-100.0
80940.49362169675,-97.0
80940.50130402282,-97.0
80940.50898634888,-95.0
80940.51666867494,-92.0
80940.524351001,-90.0
80940.53203332706,-88.0
80940.53971565314,-85.0
80940.5473979792,-85.0
80940.55508030526,-85.0
80940.56276263132,-83.0
80940.5704449574,-75.0
80940.57812728346,-73.0
80940.58580960952,-75.0
80940.59349193558,-78.0
80940.60117426165,-78.0
80940.60885658771,-78.0
80940.61653891378,-80.0
80940.62422123984,-88.0
80940.63190356591,-88.0
80940.63958589197,-85.0
80940.64726821803,-85.0
80940.65495054409,-85.0
80940.66263287015,-88.0
80940.67031519623,-88.0
80940.67799752229,-88.0
80940.68567984835,-83.0
80940.69336217441,-85.0
80940.70104450049,-92.0
80940.70872682655,-92.0
80940.7164091526,-88.0
80940.72409147867,-88.0
80940.73177380474,-90.0
80940.7394561308,-90.0
80940.74713845686,-88.0
80940.75482078292,-85.0
80940.762503109,-85.0
80940.77018543506,-83.0
80940.77786776112,-80.0
80940.78555008718,-83.0
80940.79323241324,-85.0
80940.80091473932,-92.0
80940.80859706538,-97.0
80940.81627939144,-95.0
80940.8239617175,-78.0
80940.83164404357,-56.0
80940.83932636963,-46.0
80940.8470086957,-46.0
80940.85469102176,-58.0
80940.86237334783,-78.0
80940.87005567389,-92.0
80940.87773799995,-95.0
80940.88542032601,-88.0
80940.89310265209,-88.0
80940.90078497815,-90.0
80940.90846730421,-88.0
80940.91614963027,-88.0
80940.92383195633,-88.0
80940.9315142824,-85.0
80940.93919660847,-88.0
80940.94687893453,-97.0
80940.95456126059,-112.0
80940.96224358666,-17.0
80940.96992591272,347.0
80940.97760823878,745.0
80940.98529056484,645.0
80940.99297289092,100.0
80941.00065521698,-205.0
80941.00833754304,-139.0
80941.0160198691,-119.0
