time_lsl,BreathingValue
167927.42121482905,836.0
167927.4409684656,808.0
167927.46072210217,775.0
167927.48047573873,741.0
167927.5002293753,705.0
167927.51998301188,671.0
167927.53973664844,641.0
167927.559490285,612.0
167927.57924392156,585.0
167927.59899755815,558.0
167927.6187511947,531.0
167927.63850483127,504.0
167927.65825846783,478.0
167927.6780121044,453.0
167927.69776574097,428.0
167927.71751937753,402.0
167927.7372730141,376.0
167927.75702665068,348.0
167927.77678028724,323.0
167927.7965339238,307.0
167927.81628756036,298.0
167927.83604119692,295.0
167927.8557948335,289.0
167927.87554847007,276.0
167927.89530210663,254.0
167927.9150557432,229.0
167927.93480937977,205.0
167927.95456301633,188.0
167927.9743166529,175.0
167927.99407028945,164.0
167928.01382392604,148.0
167928.0335775626,130.0
167928.05333119916,109.0
167928.07308483572,89.0
167928.09283847228,73.0
167928.11259210887,56.0
167928.13234574543,40.0
167928.152099382,20.0
167928.17185301855,11.0
167928.19160665513,0.0
167928.2113602917,0.0
167928.23111392825,0.0
167928.2508675648,0.0
167928.2706212014,0.0
167928.29037483796,0.0
167928.31012847452,0.0
167928.32988211108,0.0
167928.34963574767,0.0
167928.36938938423,0.0
167928.3891430208,0.0
167928.40889665735,0.0
167928.4286502939,0.0
167928.4484039305,0.0
167928.46815756705,1.0
167928.4879112036,23.0
167928.50766484017,48.0
167928.52741847676,96.0
167928.54717211332,144.0
167928.56692574988,190.0
167928.58667938644,232.0
167928.60643302303,267.0
167928.6261866596,299.0
167928.64594029615,330.0
167928.6656939327,362.0
167928.68544756927,398.0
167928.70520120586,435.0
167928.72495484242,471.0
167928.74470847897,505.0
167928.76446211553,536.0
167928.78421575212,564.0
167928.80396938868,593.0
167928.82372302524,621.0
167928.8434766618,649.0
167928.8632302984,676.0
167928.88298393495,698.0
167928.9027375715,720.0
167928.92249120807,739.0
167928.94224484466,758.0
167928.96199848122,778.0
167928.98175211778,798.0
167929.00150575434,818.0
167929.0212593909,838.0
167929.04101302748,856.0
167929.06076666404,870.0
167929.0805203006,882.0
167929.10027393716,889.0
167929.12002757375,893.0
167929.1397812103,894.0
167929.15953484687,890.0
167929.17928848343,884.0
167929.19904212002,881.0
167929.21879575658,882.0
167929.23854939314,894.0
167929.2583030297,910.0
167929.27805666625,929.0
167929.29781030284,945.0
167929.3175639394,955.0
167929.33731757596,959.0
167929.35707121252,960.0
167929.3768248491,960.0
167929.39657848567,961.0
167929.41633212223,959.0
167929.4360857588,958.0
167929.45583939538,953.0
167929.47559303194,947.0
167929.4953466685,941.0
167929.51510030506,938.0
167929.53485394162,937.0
167929.5546075782,938.0
167929.57436121476,938.0
167929.59411485132,935.0
167929.61386848788,930.0
167929.63362212447,924.0
167929.65337576103,920.0
167929.6731293976,918.0
167929.69288303415,918.0
167929.71263667074,921.0
167929.7323903073,922.0
167929.75214394386,923.0
167929.77189758042,920.0
167929.791651217,917.0
167929.81140485356,912.0
167929.83115849012,907.0
167929.85091212668,900.0
167929.87066576324,893.0
167929.89041939983,882.0
167929.9101730364,874.0
167929.92992667295,867.0
167929.9496803095,869.0
167929.9694339461,880.0
167929.98918758266,895.0
167930.00894121922,910.0
167930.02869485578,918.0
167930.04844849237,919.0
167930.06820212892,914.0
167930.08795576548,908.0
167930.10770940204,904.0
167930.1274630386,900.0
167930.1472166752,897.0
167930.16697031175,890.0
167930.1867239483,883.0
167930.20647758487,872.0
167930.22623122146,864.0
167930.24598485802,858.0
167930.26573849458,855.0
167930.28549213114,853.0
167930.30524576773,849.0
167930.32499940429,843.0
167930.34475304084,835.0
167930.3645066774,829.0
167930.384260314,825.0
167930.40401395055,825.0
167930.4237675871,827.0
167930.44352122367,829.0
167930.46327486023,831.0
167930.48302849682,830.0
167930.50278213338,826.0
167930.52253576994,823.0
167930.5422894065,817.0
167930.5620430431,813.0
167930.58179667965,806.0
167930.6015503162,797.0
167930.62130395276,789.0
167930.64105758935,779.0
167930.6608112259,777.0
167930.68056486247,782.0
167930.70031849903,795.0
167930.7200721356,812.0
167930.73982577218,825.0
167930.75957940874,832.0
167930.7793330453,829.0
167930.79908668186,822.0
167930.81884031845,815.0
167930.838593955,810.0
167930.85834759157,808.0
167930.87810122813,806.0
167930.8978548647,803.0
167930.91760850127,795.0
167930.93736213783,787.0
167930.9571157744,779.0
167930.97686941098,772.0
167930.99662304754,769.0
167931.0163766841,767.0
167931.03613032066,763.0
167931.05588395722,759.0
167931.0756375938,753.0
167931.09539123037,748.0
167931.11514486693,743.0
167931.1348985035,740.0
167931.15465214007,735.0
167931.17440577663,730.0
167931.1941594132,720.0
167931.21391304975,707.0
167931.23366668634,689.0
167931.2534203229,670.0
167931.27317395946,646.0
167931.29292759602,624.0
167931.31268123258,596.0
167931.33243486917,567.0
167931.35218850573,533.0
167931.3719421423,498.0
167931.39169577885,465.0
167931.41144941543,439.0
167931.431203052,419.0
167931.45095668855,404.0
167931.4707103251,388.0
167931.4904639617,367.0
167931.51021759826,340.0
167931.52997123482,310.0
167931.54972487138,283.0
167931.56947850794,259.0
167931.58923214453,241.0
167931.6089857811,224.0
167931.62873941765,205.0
167931.6484930542,184.0
167931.6682466908,162.0
167931.68800032735,140.0
167931.7077539639,123.0
167931.72750760047,106.0
167931.74726123706,91.0
167931.76701487362,75.0
167931.78676851018,59.0
167931.80652214674,43.0
167931.82627578333,27.0
167931.8460294199,13.0
167931.86578305645,6.0
167931.885536693,0.0
167931.90529032957,0.0
167931.92504396616,0.0
167931.94479760271,0.0
167931.96455123927,0.0
167931.98430487583,0.0
167932.00405851242,0.0
167932.02381214898,0.0
167932.04356578554,0.0
167932.0633194221,0.0
167932.0830730587,0.0
167932.10282669525,0.0
167932.1225803318,0.0
167932.14233396837,0.0
167932.16208760493,0.0
167932.18184124152,0.0
167932.20159487808,0.0
167932.22134851463,0.0
167932.2411021512,0.0
167932.26085578778,0.0
167932.28060942434,0.0
167932.3003630609,0.0
167932.32011669746,0.0
167932.33987033405,0.0
167932.3596239706,0.0
167932.37937760717,0.0
167932.39913124373,0.0
167932.41888488032,0.0
167932.43863851688,0.0
167932.45839215344,0.0
167932.47814579,0.0
167932.49789942655,11.0
167932.51765306314,25.0
167932.5374066997,51.0
167932.55716033626,82.0
167932.57691397282,114.0
167932.5966676094,147.0
167932.61642124597,179.0
167932.63617488253,210.0
167932.6559285191,239.0
167932.67568215568,267.0
167932.69543579224,294.0
167932.7151894288,319.0
167932.73494306536,343.0
167932.75469670192,361.0
167932.7744503385,377.0
167932.79420397506,392.0
167932.81395761162,409.0
167932.83371124818,431.0
167932.85346488477,460.0
167932.87321852133,493.0
167932.8929721579,525.0
167932.91272579445,553.0
167932.93247943104,575.0
167932.9522330676,591.0
167932.97198670416,606.0
167932.99174034072,619.0
167933.0114939773,637.0
167933.03124761386,652.0
167933.05100125042,669.0
167933.07075488698,681.0
167933.09050852354,692.0
167933.11026216013,702.0
167933.1300157967,713.0
167933.14976943325,726.0
167933.1695230698,740.0
167933.1892767064,753.0
167933.20903034296,765.0
167933.22878397952,772.0
167933.24853761608,781.0
167933.26829125267,785.0
167933.28804488922,792.0
167933.30779852578,799.0
167933.32755216234,806.0
167933.3473057989,814.0
167933.3670594355,822.0
167933.38681307205,827.0
167933.4065667086,829.0
167933.42632034517,831.0
167933.44607398176,827.0
167933.46582761832,825.0
167933.48558125488,817.0
167933.50533489144,810.0
167933.52508852803,801.0
167933.54484216459,796.0
167933.56459580114,797.0
167933.5843494377,807.0
167933.60410307426,822.0
167933.62385671085,838.0
167933.6436103474,850.0
167933.66336398397,856.0
167933.68311762053,856.0
167933.70287125712,855.0
167933.72262489368,853.0
167933.74237853024,853.0
167933.7621321668,852.0
167933.7818858034,851.0
167933.80163943995,844.0
167933.8213930765,836.0
167933.84114671306,826.0
167933.86090034965,821.0
167933.8806539862,818.0
167933.90040762277,817.0
167933.92016125933,815.0
167933.9399148959,812.0
167933.95966853248,804.0
167933.97942216904,798.0
167933.9991758056,793.0
167934.01892944216,791.0
167934.03868307875,794.0
167934.0584367153,797.0
167934.07819035187,799.0
167934.09794398842,800.0
167934.117697625,797.0
167934.13745126157,793.0
167934.15720489813,790.0
167934.1769585347,785.0
167934.19671217125,779.0
167934.21646580784,770.0
167934.2362194444,760.0
167934.25597308096,750.0
167934.27572671752,746.0
167934.2954803541,752.0
167934.31523399067,766.0
167934.33498762723,784.0
167934.35474126379,800.0
167934.37449490037,806.0
167934.39424853693,804.0
167934.4140021735,797.0
167934.43375581005,791.0
167934.45350944664,788.0
167934.4732630832,788.0
167934.49301671976,788.0
167934.51277035632,784.0
167934.53252399288,777.0
167934.55227762947,767.0
167934.57203126603,759.0
167934.5917849026,753.0
167934.61153853915,750.0
167934.63129217573,748.0
167934.6510458123,744.0
167934.67079944885,738.0
167934.6905530854,730.0
167934.710306722,725.0
167934.73006035856,721.0
167934.74981399512,722.0
167934.76956763168,724.0
167934.78932126824,727.0
167934.80907490483,730.0
167934.8288285414,728.0
167934.84858217795,726.0
167934.8683358145,720.0
167934.8880894511,714.0
167934.90784308765,706.0
167934.9275967242,696.0
167934.94735036077,681.0
167934.96710399736,663.0
167934.98685763392,640.0
167935.00661127048,619.0
167935.02636490704,601.0
167935.04611854363,592.0
167935.0658721802,591.0
167935.08562581675,587.0
167935.1053794533,578.0
167935.12513308987,555.0
167935.14488672646,527.0
167935.16464036301,495.0
