time_lsl,t_device,uV,device,seq,fs
222970.58879570107,1756024862.566824,577,H10,6,130.0
222970.59648800877,1756024862.566824,743,H10,6,130.0
222970.60418031644,1756024862.566824,367,H10,6,130.0
222970.61187262414,1756024862.566824,-113,H10,6,130.0
222970.61956493184,1756024862.566824,-182,H10,6,130.0
222970.62725723954,1756024862.566824,-86,H10,6,130.0
222970.6349495472,1756024862.566824,-129,H10,6,130.0
222970.6426418549,1756024862.566824,-163,H10,6,130.0
222970.6503341626,1756024862.566824,-129,H10,6,130.0
222970.6580264703,1756024862.566824,-134,H10,6,130.0
222970.66571877798,1756024862.566824,-146,H10,6,130.0
222970.67341108568,1756024862.566824,-132,H10,6,130.0
222970.68110339338,1756024862.566824,-120,H10,6,130.0
222970.68879570108,1756024862.566824,-122,H10,6,130.0
222970.69648800875,1756024862.566824,-115,H10,6,130.0
222970.70418031645,1756024862.566824,-110,H10,6,130.0
222970.71187262415,1756024862.566824,-108,H10,6,130.0
222970.71956493185,1756024862.566824,-103,H10,6,130.0
222970.72725723952,1756024862.566824,-96,H10,6,130.0
222970.73494954722,1756024862.566824,-91,H10,6,130.0
222970.74264185491,1756024862.566824,-86,H10,6,130.0
222970.7503341626,1756024862.566824,-79,H10,6,130.0
222970.75802647028,1756024862.566824,-72,H10,6,130.0
222970.76571877798,1756024862.566824,-67,H10,6,130.0
222970.77341108568,1756024862.566824,-60,H10,6,130.0
222970.78110339338,1756024862.566824,-52,H10,6,130.0
222970.78879570105,1756024862.566824,-45,H10,6,130.0
222970.79648800875,1756024862.566824,-38,H10,6,130.0
222970.80418031645,1756024862.566824,-31,H10,6,130.0
222970.81187262415,1756024862.566824,-24,H10,6,130.0
222970.81956493182,1756024862.566824,-16,H10,6,130.0
222970.82725723952,1756024862.566824,-12,H10,6,130.0
222970.83494954722,1756024862.566824,-9,H10,6,130.0
222970.84264185492,1756024862.566824,-9,H10,6,130.0
222970.8503341626,1756024862.566824,-9,H10,6,130.0
222970.8580264703,1756024862.566824,-14,H10,6,130.0
222970.865718778,1756024862.566824,-16,H10,6,130.0
222970.8734110857,1756024862.566824,-24,H10,6,130.0
222970.88110339336,1756024862.566824,-38,H10,6,130.0
222970.88879570106,1756024862.566824,-52,H10,6,130.0
222970.89648800876,1756024862.566824,-72,H10,6,130.0
222970.90418031646,1756024862.566824,-88,H10,6,130.0
222970.91187262413,1756024862.566824,-101,H10,6,130.0
222970.91956493183,1756024862.566824,-110,H10,6,130.0
222970.92725723953,1756024862.566824,-117,H10,6,130.0
222970.93494954723,1756024862.566824,-122,H10,6,130.0
222970.9426418549,1756024862.566824,-125,H10,6,130.0
222970.9503341626,1756024862.566824,-125,H10,6,130.0
222970.9580264703,1756024862.566824,-122,H10,6,130.0
222970.965718778,1756024862.566824,-120,H10,6,130.0
