time_lsl,t_device,x_mG,y_mG,z_mG,device,seq,fs,range_g
222970.99322803196,1756024862.8366919,-799,63,478,H10,6,50.0,4
222971.01322803195,1756024862.8366919,-801,63,480,H10,6,50.0,4
222971.03322803194,1756024862.8366919,-801,62,483,H10,6,50.0,4
222971.05322803196,1756024862.8366919,-801,61,479,H10,6,50.0,4
222971.07322803195,1756024862.8366919,-803,61,478,H10,6,50.0,4
222971.09322803194,1756024862.8366919,-804,56,476,H10,6,50.0,4
222971.11322803196,1756024862.8366919,-802,62,478,H10,6,50.0,4
222971.13322803195,1756024862.8366919,-800,65,479,H10,6,50.0,4
222971.15322803197,1756024862.8366919,-800,64,478,H10,6,50.0,4
222971.17322803196,1756024862.8366919,-799,64,479,H10,6,50.0,4
222971.19322803195,1756024862.8366919,-801,62,482,H10,6,50.0,4
222971.21322803196,1756024862.8366919,-802,64,484,H10,6,50.0,4
222971.23186978715,1756024863.556336,-800,65,480,H10,7,50.0,4
222971.25186978714,1756024863.556336,-799,64,479,H10,7,50.0,4
222971.27186978716,1756024863.556336,-798,65,482,H10,7,50.0,4
222971.29186978715,1756024863.556336,-798,63,482,H10,7,50.0,4
222971.31186978714,1756024863.556336,-799,63,483,H10,7,50.0,4
222971.33186978716,1756024863.556336,-799,67,482,H10,7,50.0,4
222971.35186978715,1756024863.556336,-799,65,481,H10,7,50.0,4
222971.37186978717,1756024863.556336,-798,64,484,H10,7,50.0,4
222971.39186978716,1756024863.556336,-797,64,485,H10,7,50.0,4
222971.41186978715,1756024863.556336,-798,63,483,H10,7,50.0,4
222971.43186978716,1756024863.556336,-798,62,483,H10,7,50.0,4
222971.45186978715,1756024863.556336,-797,67,483,H10,7,50.0,4
222971.47186978714,1756024863.556336,-796,65,484,H10,7,50.0,4
222971.49186978716,1756024863.556336,-795,65,484,H10,7,50.0,4
222971.51186978715,1756024863.556336,-798,66,486,H10,7,50.0,4
222971.53186978714,1756024863.556336,-801,67,483,H10,7,50.0,4
222971.55186978716,1756024863.556336,-798,64,483,H10,7,50.0,4
222971.57186978715,1756024863.556336,-798,61,481,H10,7,50.0,4
222971.59186978714,1756024863.556336,-792,63,490,H10,7,50.0,4
222971.61186978716,1756024863.556336,-794,68,484,H10,7,50.0,4
222971.63186978715,1756024863.556336,-795,69,480,H10,7,50.0,4
222971.65186978717,1756024863.556336,-789,67,489,H10,7,50.0,4
222971.67186978715,1756024863.556336,-790,68,493,H10,7,50.0,4
222971.69186978714,1756024863.556336,-801,68,487,H10,7,50.0,4
222971.71186978716,1756024863.556336,-802,68,483,H10,7,50.0,4
222971.73186978715,1756024863.556336,-798,65,483,H10,7,50.0,4
222971.75186978714,1756024863.556336,-792,60,486,H10,7,50.0,4
222971.77186978716,1756024863.556336,-791,63,488,H10,7,50.0,4
222971.79186978715,1756024863.556336,-792,68,489,H10,7,50.0,4
222971.81186978714,1756024863.556336,-794,68,493,H10,7,50.0,4
222971.83186978716,1756024863.556336,-795,72,494,H10,7,50.0,4
222971.85186978715,1756024863.556336,-795,68,492,H10,7,50.0,4
222971.87186978717,1756024863.556336,-793,67,497,H10,7,50.0,4
222971.89186978716,1756024863.556336,-799,65,493,H10,7,50.0,4
222971.91186978715,1756024863.556336,-796,62,482,H10,7,50.0,4
222971.93186978716,1756024863.556336,-788,64,494,H10,7,50.0,4
222971.9535837534,1756024864.275679,-789,66,497,H10,8,50.0,4
222971.9735837534,1756024864.275679,-792,70,497,H10,8,50.0,4
222971.9935837534,1756024864.275679,-793,68,493,H10,8,50.0,4
222972.0135837534,1756024864.275679,-791,68,490,H10,8,50.0,4
222972.0335837534,1756024864.275679,-791,66,489,H10,8,50.0,4
222972.0535837534,1756024864.275679,-789,64,488,H10,8,50.0,4
222972.0735837534,1756024864.275679,-787,66,489,H10,8,50.0,4
222972.09358375342,1756024864.275679,-787,65,485,H10,8,50.0,4
222972.1135837534,1756024864.275679,-787,65,485,H10,8,50.0,4
222972.1335837534,1756024864.275679,-787,64,486,H10,8,50.0,4
222972.15358375342,1756024864.275679,-789,68,486,H10,8,50.0,4
222972.1735837534,1756024864.275679,-791,70,490,H10,8,50.0,4
222972.1935837534,1756024864.275679,-793,71,488,H10,8,50.0,4
222972.21358375342,1756024864.275679,-792,70,488,H10,8,50.0,4
222972.2335837534,1756024864.275679,-793,70,493,H10,8,50.0,4
222972.2535837534,1756024864.275679,-792,69,495,H10,8,50.0,4
222972.2735837534,1756024864.275679,-792,70,495,H10,8,50.0,4
222972.2935837534,1756024864.275679,-792,70,493,H10,8,50.0,4
222972.3135837534,1756024864.275679,-792,66,493,H10,8,50.0,4
222972.3335837534,1756024864.275679,-792,68,492,H10,8,50.0,4
222972.3535837534,1756024864.275679,-793,70,492,H10,8,50.0,4
222972.37358375342,1756024864.275679,-793,68,492,H10,8,50.0,4
222972.3935837534,1756024864.275679,-792,71,494,H10,8,50.0,4
222972.4135837534,1756024864.275679,-794,69,491,H10,8,50.0,4
222972.43358375342,1756024864.275679,-794,66,490,H10,8,50.0,4
222972.4535837534,1756024864.275679,-797,71,490,H10,8,50.0,4
222972.4735837534,1756024864.275679,-799,69,485,H10,8,50.0,4
222972.4935837534,1756024864.275679,-797,64,485,H10,8,50.0,4
222972.5135837534,1756024864.275679,-792,61,486,H10,8,50.0,4
