time_lsl,ad
62153.601534702924,754.0
62153.62128566564,753.0
62153.64103662836,752.0
62153.66078759107,752.0
62153.68053855379,750.0
62153.700289516506,745.0
62153.72004047922,740.0
62153.739791441934,735.0
62153.75954240465,731.0
62153.77929336736,729.0
62153.79904433008,727.0
62153.8187952928,726.0
62153.83854625551,724.0
62153.85829721823,722.0
62153.878048180944,719.0
62153.897799143655,712.0
62153.91755010637,703.0
62153.93730106909,689.0
62153.9570520318,673.0
62153.97680299452,660.0
62153.99655395724,654.0
62154.01630491995,661.0
62154.036055882665,676.0
62154.05580684538,695.0
62154.0755578081,707.0
62154.09530877081,711.0
62154.11505973353,707.0
62154.13481069625,700.0
62154.15456165896,693.0
62154.174312621675,687.0
62154.19406358439,686.0
62154.2138145471,684.0
62154.23356550982,683.0
62154.25331647254,680.0
62154.27306743525,677.0
62154.29281839797,674.0
62154.312569360685,673.0
62154.332320323396,673.0
62154.352071286114,672.0
62154.37182224883,670.0
62154.39157321154,665.0
62154.41132417426,661.0
62154.43107513698,657.0
62154.45082609969,655.0
62154.470577062406,655.0
62154.490328025124,656.0
62154.51007898784,659.0
62154.52982995055,656.0
62154.54958091327,654.0
62154.56933187599,647.0
62154.5890828387,641.0
62154.608833801416,633.0
62154.628584764134,624.0
62154.648335726844,612.0
62154.66808668956,599.0
62154.68783765228,593.0
62154.70758861499,596.0
62154.72733957771,610.0
62154.747090540426,627.0
62154.76684150314,642.0
62154.786592465854,649.0
62154.80634342857,648.0
62154.82609439128,644.0
62154.845845354,637.0
62154.86559631672,634.0
62154.885347279436,633.0
62154.90509824215,633.0
62154.924849204865,634.0
62154.94460016758,632.0
62154.96435113029,631.0
62154.98410209301,629.0
62155.00385305573,630.0
62155.02360401844,632.0
62155.04335498116,634.0
62155.063105943875,634.0
62155.082856906585,632.0
62155.1026078693,631.0
62155.12235883202,627.0
62155.14210979473,626.0
62155.16186075745,627.0
62155.18161172017,629.0
62155.20136268288,633.0
62155.221113645595,634.0
62155.24086460831,635.0
62155.260615571024,632.0
62155.28036653374,628.0
62155.30011749646,623.0
62155.31986845918,617.0
62155.33961942189,606.0
62155.359370384605,590.0
62155.37912134732,573.0
62155.398872310034,560.0
62155.41862327275,557.0
62155.43837423547,560.0
62155.45812519818,563.0
62155.4778761609,555.0
62155.497627123616,538.0
62155.517378086326,512.0
62155.537129049044,487.0
62155.55688001176,465.0
62155.57663097447,449.0
62155.59638193719,436.0
62155.61613289991,425.0
62155.63588386262,415.0
62155.655634825336,402.0
62155.675385788054,391.0
62155.695136750765,380.0
62155.71488771348,370.0
62155.7346386762,361.0
62155.75438963892,351.0
62155.77414060163,340.0
62155.793891564346,329.0
62155.813642527064,317.0
62155.833393489775,306.0
62155.85314445249,294.0
62155.87289541521,282.0
62155.89264637792,270.0
62155.91239734064,257.0
62155.93214830336,243.0
62155.95189926607,229.0
62155.971650228785,217.0
62155.9914011915,205.0
62156.01115215421,191.0
62156.03090311693,176.0
62156.05065407965,156.0
62156.07040504236,135.0
62156.09015600508,118.0
62156.109906967795,106.0
62156.129657930505,101.0
62156.14940889322,97.0
62156.16915985594,92.0
62156.18891081866,81.0
62156.20866178137,67.0
62156.22841274409,51.0
62156.248163706805,40.0
62156.267914669515,30.0
62156.28766563223,25.0
62156.30741659495,19.0
62156.32716755766,14.0
62156.34691852038,8.0
62156.3666694831,4.0
62156.38642044581,0.0
62156.406171408526,0.0
62156.42592237124,0.0
62156.445673333954,0.0
62156.46542429667,0.0
62156.48517525939,0.0
62156.5049262221,0.0
62156.52467718482,0.0
62156.544428147536,5.0
62156.564179110246,17.0
62156.583930072964,37.0
62156.60368103568,64.0
62156.6234319984,93.0
62156.64318296111,119.0
62156.66293392383,142.0
62156.682684886546,158.0
62156.702435849256,170.0
62156.722186811974,181.0
62156.74193777469,194.0
62156.7616887374,215.0
62156.78143970012,242.0
62156.80119066284,275.0
62156.82094162555,308.0
62156.84069258827,338.0
62156.860443550984,363.0
62156.880194513695,382.0
62156.89994547641,396.0
62156.91969643913,410.0
62156.93944740184,425.0
62156.95919836456,442.0
62156.97894932728,463.0
62156.99870028999,484.0
62157.018451252705,507.0
62157.03820221542,527.0
62157.05795317814,547.0
62157.07770414085,567.0
62157.09745510357,584.0
62157.11720606629,600.0
62157.136957029,613.0
62157.156707991715,623.0
62157.17645895443,633.0
62157.19620991714,641.0
62157.21596087986,651.0
62157.23571184258,659.0
62157.25546280529,669.0
62157.27521376801,678.0
62157.294964730725,686.0
62157.314715693436,693.0
62157.33446665615,700.0
62157.35421761887,705.0
62157.37396858158,706.0
62157.3937195443,705.0
62157.41347050702,699.0
62157.43322146973,692.0
62157.452972432446,691.0
62157.47272339516,694.0
62157.49247435788,705.0
62157.51222532059,720.0
62157.53197628331,734.0
62157.55172724603,745.0
62157.57147820874,752.0
62157.591229171456,754.0
62157.61098013417,753.0
62157.630731096884,753.0
62157.6504820596,751.0
62157.67023302232,750.0
62157.68998398503,749.0
62157.70973494775,746.0
62157.729485910466,743.0
62157.74923687318,741.0
62157.768987835894,740.0
62157.78873879861,741.0
62157.80848976132,741.0
62157.82824072404,741.0
62157.84799168676,740.0
62157.86774264947,738.0
62157.88749361219,736.0
62157.907244574904,732.0
62157.92699553762,731.0
62157.94674650033,729.0
62157.96649746305,729.0
62157.98624842577,728.0
62158.00599938848,728.0
62158.0257503512,724.0
62158.045501313914,718.0
62158.065252276625,708.0
62158.08500323934,695.0
62158.10475420206,680.0
62158.12450516477,668.0
62158.14425612749,665.0
62158.16400709021,671.0
62158.18375805292,686.0
62158.203509015635,703.0
62158.22325997835,715.0
62158.24301094106,718.0
62158.26276190378,716.0
62158.2825128665,708.0
62158.30226382922,703.0
62158.32201479193,696.0
62158.341765754645,694.0
62158.36151671736,692.0
62158.38126768007,689.0
62158.40101864279,685.0
62158.42076960551,681.0
62158.44052056822,678.0
62158.46027153094,677.0
62158.480022493655,676.0
62158.499773456366,676.0
62158.51952441908,673.0
62158.5392753818,669.0
62158.55902634451,663.0
62158.57877730723,659.0
62158.59852826995,655.0
62158.61827923266,654.0
62158.638030195376,655.0
62158.657781158094,657.0
62158.677532120804,658.0
62158.69728308352,656.0
62158.71703404624,652.0
62158.73678500896,647.0
62158.75653597167,639.0
62158.776286934386,630.0
62158.796037897104,618.0
62158.815788859814,602.0
62158.83553982253,591.0
62158.85529078525,586.0
62158.87504174796,594.0
62158.89479271068,611.0
62158.914543673396,630.0
62158.93429463611,644.0
62158.954045598824,648.0
62158.97379656154,646.0
62158.99354752425,638.0
