time_lsl,uV
7016.3084497441905,-260.0
7016.316142051883,-269.0
7016.323834359575,-240.0
7016.331526667267,-257.0
7016.339218974959,-233.0
7016.3469112826515,-219.0
7016.354603590344,-233.0
7016.362295898036,-197.0
7016.369988205728,-207.0
7016.37768051342,-199.0
7016.3853728211125,-173.0
7016.393065128805,-192.0
7016.400757436497,-168.0
7016.408449744189,-171.0
7016.416142051881,-173.0
7016.423834359573,-146.0
7016.431526667266,-178.0
7016.439218974958,-163.0
7016.44691128265,-161.0
7016.454603590342,-195.0
7016.462295898034,-178.0
7016.469988205727,-199.0
7016.477680513419,-202.0
7016.485372821111,-187.0
7016.493065128803,-216.0
7016.500757436495,-187.0
7016.508449744188,-190.0
7016.51614205188,-202.0
7016.523834359572,-173.0
7016.531526667264,-195.0
7016.539218974956,-178.0
7016.546911282649,-166.0
7016.554603590341,-183.0
7016.562295898033,-154.0
7016.569988205725,-163.0
7016.577680513417,-158.0
7016.58537282111,-134.0
7016.593065128802,-156.0
7016.600757436494,-132.0
7016.608449744186,-134.0
7016.616142051878,-142.0
7016.6238343595705,-113.0
7016.631526667263,-134.0
7016.639218974955,-115.0
7016.646911282647,-103.0
7016.654603590339,-125.0
7016.6622958980315,-96.0
7016.669988205724,-101.0
7016.677680513416,-89.0
7016.685372821108,-67.0
7016.6930651288,-89.0
7016.7007574364925,-65.0
7016.708449744185,-67.0
7016.716142051877,-77.0
7016.723834359569,-50.0
7016.731526667261,-77.0
7016.7392189749535,-62.0
7016.746911282646,-50.0
7016.754603590338,-72.0
7016.76229589803,-43.0
7016.769988205722,-55.0
7016.777680513414,-55.0
7016.785372821107,-33.0
7016.793065128799,-65.0
7016.800757436491,-43.0
7016.742020887654,-38.0
7016.749713195346,-40.0
7016.757405503038,2.0
7016.76509781073,-12.0
7016.772790118423,-2.0
7016.780482426115,0.0
7016.788174733807,-24.0
7016.795867041499,4.0
7016.803559349191,-12.0
7016.8112516568835,-14.0
7016.818943964576,12.0
7016.826636272268,-12.0
7016.83432857996,7.0
7016.842020887652,12.0
7016.8497131953445,0.0
7016.857405503037,26.0
7016.865097810729,4.0
7016.872790118421,0.0
7016.880482426113,-2.0
7016.8881747338055,60.0
7016.895867041498,339.0
7016.90355934919,568.0
7016.911251656882,476.0
7016.918943964574,161.0
7016.9266362722665,-38.0
7016.934328579959,4.0
7016.942020887651,0.0
7016.949713195343,-45.0
7016.957405503035,-4.0
7016.9650978107275,-14.0
7016.97279011842,-16.0
7016.980482426112,2.0
7016.988174733804,-9.0
7016.995867041496,14.0
7017.003559349188,12.0
7017.011251656881,16.0
7017.018943964573,43.0
7017.026636272265,24.0
7017.034328579957,38.0
7017.042020887649,45.0
7017.049713195342,36.0
7017.057405503034,60.0
7017.065097810726,55.0
7017.072790118418,69.0
7017.08048242611,86.0
7017.088174733803,72.0
7017.095867041495,98.0
7017.103559349187,98.0
7017.111251656879,101.0
7017.118943964571,122.0
7017.126636272264,105.0
7017.134328579956,115.0
7017.142020887648,115.0
7017.14971319534,103.0
7017.157405503032,120.0
7017.165097810725,105.0
7017.172790118417,105.0
7017.180482426109,110.0
7017.188174733801,89.0
7017.195867041493,98.0
7017.2035593491855,86.0
7017.211251656878,81.0
7017.21894396457,103.0
7017.226636272262,86.0
7017.234328579954,101.0
7017.2420208876465,105.0
7017.249713195339,98.0
7017.257405503031,122.0
7017.265097810723,110.0
7017.272790118415,118.0
7017.2804824261075,125.0
7017.2881747338,105.0
7017.295867041492,120.0
7017.290379678654,108.0
7017.298071986346,101.0
7017.305764294038,118.0
7017.313456601731,93.0
7017.321148909423,103.0
7017.328841217115,105.0
7017.336533524807,84.0
7017.344225832499,101.0
7017.351918140192,89.0
7017.359610447884,86.0
7017.367302755576,93.0
7017.374995063268,77.0
7017.38268737096,86.0
7017.390379678653,74.0
7017.398071986345,67.0
7017.405764294037,79.0
7017.413456601729,60.0
7017.421148909421,67.0
7017.428841217114,67.0
7017.436533524806,57.0
7017.444225832498,72.0
7017.45191814019,50.0
7017.459610447882,55.0
7017.467302755575,67.0
7017.474995063267,43.0
7017.482687370959,52.0
7017.490379678651,50.0
7017.498071986343,45.0
7017.5057642940355,60.0
7017.513456601728,36.0
7017.52114890942,40.0
7017.528841217112,43.0
7017.536533524804,24.0
7017.5442258324965,43.0
7017.551918140189,45.0
7017.559610447881,65.0
7017.567302755573,79.0
7017.574995063265,50.0
7017.5826873709575,60.0
7017.59037967865,50.0
7017.598071986342,38.0
7017.605764294034,55.0
7017.613456601726,40.0
7017.6211489094185,50.0
7017.628841217111,55.0
7017.636533524803,43.0
7017.644225832495,57.0
7017.651918140187,40.0
7017.6596104478795,43.0
7017.667302755572,55.0
7017.674995063264,21.0
7017.682687370956,36.0
7017.690379678648,163.0
7017.69807198634,433.0
7017.705764294033,604.0
7017.713456601725,399.0
7017.721148909417,98.0
7017.728841217109,9.0
7017.736533524801,33.0
7017.744225832494,24.0
7017.751918140186,-16.0
7017.759610447878,0.0
7017.76730275557,21.0
7017.774995063262,-2.0
7017.782687370955,16.0
7017.790379678647,16.0
7017.798071986339,12.0
7017.805764294031,38.0
7017.813456601723,19.0
7017.821148909416,26.0
7017.828841217108,43.0
7017.8365335248,40.0
7017.844225832492,57.0
7017.884282137654,40.0
7017.891974445346,55.0
7017.899666753038,84.0
7017.90735906073,65.0
7017.915051368423,89.0
7017.922743676115,103.0
7017.930435983807,105.0
7017.938128291499,137.0
7017.945820599191,137.0
7017.953512906884,158.0
7017.961205214576,171.0
7017.968897522268,154.0
7017.97658982996,171.0
7017.984282137652,163.0
7017.991974445345,168.0
7017.999666753037,175.0
7018.007359060729,146.0
7018.015051368421,156.0
7018.022743676113,149.0
7018.030435983806,130.0
7018.038128291498,137.0
7018.04582059919,115.0
7018.053512906882,118.0
7018.061205214574,122.0
7018.0688975222665,115.0
7018.076589829959,144.0
7018.084282137651,142.0
7018.091974445343,142.0
7018.099666753035,156.0
7018.1073590607275,144.0
7018.11505136842,161.0
7018.122743676112,158.0
7018.130435983804,144.0
7018.138128291496,156.0
7018.1458205991885,134.0
7018.153512906881,139.0
7018.161205214573,144.0
7018.168897522265,122.0
7018.176589829957,137.0
7018.1842821376495,122.0
7018.191974445342,118.0
7018.199666753034,125.0
7018.207359060726,103.0
7018.215051368418,115.0
7018.22274367611,108.0
7018.230435983803,93.0
7018.238128291495,110.0
7018.245820599187,91.0
7018.253512906879,91.0
7018.261205214571,93.0
7018.268897522264,69.0
7018.276589829956,84.0
7018.284282137648,77.0
7018.29197444534,69.0
7018.299666753032,77.0
7018.307359060725,55.0
7018.315051368417,67.0
7018.322743676109,62.0
7018.330435983801,50.0
7018.338128291493,62.0
7018.345820599186,45.0
7018.353512906878,48.0
7018.36120521457,48.0
7018.368897522262,28.0
7018.376589829954,48.0
7018.384282137647,43.0
7018.391974445339,48.0
7018.399666753031,69.0
7018.407359060723,45.0
7018.415051368415,43.0
7018.4227436761075,36.0
7018.4304359838,21.0
7018.438128291492,36.0
7018.453771220653,16.0
7018.461463528345,19.0
7018.469155836037,26.0
7018.4768481437295,4.0
7018.484540451422,14.0
7018.492232759114,7.0
7018.499925066806,7.0
7018.507617374498,16.0
7018.5153096821905,-21.0
7018.523001989883,-24.0
7018.530694297575,72.0
7018.538386605267,317.0
7018.546078912959,529.0
7018.5537712206515,373.0
7018.561463528344,65.0
7018.569155836036,-38.0
7018.576848143728,-21.0
7018.58454045142,-36.0
7018.592232759112,-72.0
7018.599925066805,-50.0
7018.607617374497,-38.0
7018.615309682189,-72.0
7018.623001989881,-52.0
7018.630694297573,-45.0
7018.638386605266,-60.0
7018.646078912958,-43.0
7018.65377122065,-50.0
7018.661463528342,-43.0
7018.669155836034,-31.0
7018.676848143727,-48.0
7018.684540451419,-33.0
7018.692232759111,-33.0
7018.699925066803,-31.0
7018.707617374495,-16.0
7018.715309682188,-31.0
7018.72300198988,-14.0
7018.730694297572,-4.0
7018.738386605264,-14.0
7018.746078912956,9.0
7018.753771220649,0.0
7018.761463528341,2.0
7018.769155836033,14.0
7018.776848143725,-4.0
7018.784540451417,7.0
7018.7922327591095,-2.0
7018.799925066802,-7.0
7018.807617374494,0.0
7018.815309682186,-24.0
7018.823001989878,-21.0
7018.8306942975705,-31.0
7018.838386605263,-55.0
7018.846078912955,-50.0
7018.853771220647,-74.0
7018.861463528339,-77.0
7018.8691558360315,-77.0
7018.876848143724,-103.0
7018.884540451416,-93.0
7018.892232759108,-98.0
7018.8999250668,-101.0
7018.9076173744925,-86.0
7018.915309682185,-103.0
7018.923001989877,-93.0
7018.930694297569,-91.0
7018.938386605261,-110.0
7018.946078912953,-96.0
7018.953771220646,-105.0
7018.961463528338,-105.0
7018.96915583603,-96.0
7018.976848143722,-108.0
7018.984540451414,-96.0
7018.992232759107,-101.0
7018.999925066799,-103.0
7019.007617374491,-96.0
7018.995257929653,-120.0
7019.002950237345,-108.0
7019.010642545038,-105.0
7019.01833485273,-122.0
7019.026027160422,-105.0
7019.033719468114,-115.0
7019.041411775806,-118.0
7019.049104083499,-110.0
7019.056796391191,-125.0
7019.064488698883,-115.0
7019.072181006575,-130.0
7019.079873314267,-139.0
7019.08756562196,-125.0
7019.095257929652,-137.0
7019.102950237344,-127.0
7019.110642545036,-125.0
7019.118334852728,-142.0
7019.126027160421,-132.0
7019.133719468113,-146.0
7019.141411775805,-144.0
7019.149104083497,-130.0
7019.156796391189,-134.0
7019.1644886988815,-113.0
7019.172181006574,-122.0
7019.179873314266,-137.0
7019.187565621958,-130.0
7019.19525792965,-154.0
7019.2029502373425,-144.0
7019.210642545035,-132.0
7019.218334852727,-144.0
7019.226027160419,-134.0
7019.233719468111,-146.0
7019.2414117758035,-142.0
7019.249104083496,-132.0
7019.256796391188,-149.0
7019.26448869888,-134.0
7019.272181006572,-146.0
7019.2798733142645,-168.0
7019.287565621957,-110.0
7019.295257929649,77.0
7019.302950237341,346.0
7019.310642545033,317.0
7019.3183348527255,-12.0
7019.326027160418,-163.0
7019.33371946811,-125.0
7019.341411775802,-127.0
7019.349104083494,-161.0
7019.356796391186,-158.0
7019.364488698879,-130.0
7019.372181006571,-142.0
7019.379873314263,-142.0
7019.387565621955,-115.0
7019.395257929647,-127.0
7019.40295023734,-115.0
7019.410642545032,-103.0
7019.418334852724,-115.0
7019.426027160416,-96.0
7019.433719468108,-98.0
7019.441411775801,-86.0
7019.449104083493,-72.0
7019.456796391185,-84.0
7019.464488698877,-57.0
7019.472181006569,-48.0
7019.479873314262,-50.0
7019.487565621954,-26.0
7019.495257929646,-31.0
7019.502950237338,-16.0
7019.51064254503,-7.0
7019.518334852723,-14.0
7019.526027160415,9.0
7019.533719468107,4.0
7019.541411775799,7.0
7019.549104083491,21.0
7019.536721012653,7.0
7019.5444133203455,21.0
7019.552105628038,14.0
7019.55979793573,0.0
7019.567490243422,7.0
7019.575182551114,-16.0
7019.5828748588065,-19.0
7019.590567166499,-24.0
7019.598259474191,-43.0
7019.605951781883,-24.0
7019.613644089575,-31.0
7019.621336397267,-33.0
7019.62902870496,-14.0
7019.636721012652,-24.0
7019.644413320344,-9.0
7019.652105628036,-9.0
7019.659797935728,-14.0
7019.667490243421,4.0
7019.675182551113,-12.0
7019.682874858805,-2.0
7019.690567166497,7.0
7019.698259474189,-4.0
