time_lsl,value
7019.5485148954995,"{""type"":""ecg"",""t_device"":1756822375.762045,""device"":""H10"",""uV"":[-120,-108,-105,-122,-105,-115,-118,-110,-125,-115,-130,-139,-125,-137,-127,-125,-142,-132,-146,-144,-130,-134,-113,-122,-137,-130,-154,-144,-132,-144,-134,-146,-142,-132,-149,-134,-146,-168,-110,77,346,317,-12,-163,-125,-127,-161,-158,-130,-142,-142,-115,-127,-115,-103,-115,-96,-98,-86,-72,-84,-57,-48,-50,-26,-31,-16,-7,-14,9,4,7,21],""fs"":130,""n"":73,""seq"":138}"
7019.8255214784995,"{""type"":""hr"",""device"":""H10"",""seq"":79,""bpm"":72,""t_device"":1756822376.030775}"
7019.8259747705,"{""type"":""rr"",""device"":""H10"",""ms"":813,""te"":1756822347.4603305,""seq"":94,""t_device"":1756822376.030775}"
7019.9747558115,"{""type"":""acc"",""t_device"":1756822376.1821609,""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-944,49,112],[-943,45,116],[-940,44,119],[-942,47,116],[-944,47,111],[-942,44,108],[-938,46,123],[-944,55,122],[-946,54,114],[-944,55,116],[-945,57,118],[-947,53,110],[-945,53,111],[-945,52,112],[-948,56,118],[-947,57,117],[-943,58,118],[-942,55,116]],""n"":18,""seq"":198}"
7019.9756213535,"{""seq"":199,""mG"":[[-943,54,114],[-943,52,111],[-940,54,117],[-946,54,118],[-948,52,117],[-946,48,115],[-948,52,119],[-951,53,121],[-946,52,121],[-942,50,121],[-941,49,119],[-942,51,113],[-943,52,115],[-943,54,114],[-943,53,114],[-945,58,114],[-948,57,116],[-948,56,117]],""t_device"":1756822376.5421607,""range_g"":4,""type"":""acc"",""fs"":50,""n"":18,""device"":""H10""}"
7020.0903222705,"{""uV"":[7,21,14,0,7,-16,-19,-24,-43,-24,-31,-33,-14,-24,-9,-9,-14,4,-12,-2,7,-4,12,4,7,21,7,24,24,14,31,16,21,28,14,31,28,28,45,28,45,45,31,48,38,45,50,36,52,43,40,69,69,93,98,89,101,89,93,96,79,91,79,72,79,57,67,65,45,48,105,361,607],""t_device"":1756822376.3024821,""device"":""H10"",""fs"":130,""seq"":139,""type"":""ecg"",""n"":73}"
7020.6674582915,"{""range_g"":4,""t_device"":1756822376.8733969,""device"":""H10"",""fs"":50,""seq"":201,""type"":""acc"",""mG"":[[-947,58,116],[-950,56,121],[-950,55,121],[-954,59,113],[-957,54,103],[-953,48,91],[-940,41,89],[-934,38,98],[-932,41,113],[-931,47,127],[-934,50,138],[-943,54,142],[-953,58,137],[-956,57,128],[-951,58,124],[-946,58,130],[-946,54,126],[-944,50,112]],""n"":18}"
7020.6701694165,"{""seq"":202,""t_device"":1756822377.2333968,""mG"":[[-940,47,110],[-939,48,113],[-942,48,118],[-939,52,120],[-939,52,121],[-944,53,121],[-947,52,119],[-948,53,124],[-951,52,131],[-948,52,127],[-941,56,132],[-945,61,130],[-943,58,130],[-942,56,128],[-943,52,127],[-942,52,122],[-941,52,115],[-945,49,118]],""range_g"":4,""type"":""acc"",""fs"":50,""n"":18,""device"":""H10""}"
7020.6704931245,"{""uV"":[505,192,7,26,31,-21,7,19,-9,9,7,7,14,2,16,12,12,26,12,26,31,26,45,38,48,57,45,65,62,57,72,55,65,65,52,60,38,31,31,12,21,12,7,21,2,12,14,0,16,7,7,12,-4,14,4,0,14,0,7,9,2,16,0,4,14,-4,12,2,-7,12,-7,0,4],""t_device"":1756822376.882808,""device"":""H10"",""fs"":130,""seq"":140,""type"":""ecg"",""n"":73}"
7020.6760050825,"{""t0_pc"":1756822377.2252722,""type"":""pong"",""t1_ph"":1756822376.8915019,""t2_ph"":1756822376.891515,""device"":""H10""}"
7020.8054951665,"{""bpm"":73,""device"":""H10"",""t_device"":1756822377.0203462,""seq"":80,""type"":""hr""}"
7020.805967332501,"{""te"":1756822348.2603304,""type"":""rr"",""device"":""H10"",""seq"":95,""ms"":800,""t_device"":1756822377.0203462}"
7021.1963664995,"{""t_device"":1756822377.411934,""type"":""ecg"",""device"":""H10"",""uV"":[-12,0,-12,-9,2,-16,-7,-14,-19,-7,-28,-24,-14,-19,9,0,-7,-4,-26,-12,-12,-24,-12,-26,-16,-16,-28,-9,-26,-40,-24,93,387,539,339,43,-67,-24,-50,-86,-45,-57,-65,-45,-60,-48,-45,-50,-36,-48,-38,-28,-38,-19,-24,-19,0,-9,7,12,12,31,19,28,36,21,38,31,24,28,2,7,-2],""fs"":130,""n"":73,""seq"":141}"
7021.348869666501,"{""t_device"":1756822377.562706,""type"":""acc"",""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-946,47,122],[-945,47,125],[-944,49,126],[-940,55,126],[-940,58,129],[-939,62,130],[-938,59,133],[-938,54,136],[-939,49,139],[-943,50,139],[-944,51,137],[-942,51,131],[-938,50,132],[-941,55,135],[-942,56,128],[-938,51,130],[-937,50,137],[-939,51,140]],""n"":18,""seq"":204}"
7021.349206582499,"{""mG"":[[-940,50,137],[-937,53,132],[-937,53,138],[-941,51,143],[-941,50,142],[-941,46,139],[-941,48,139],[-940,48,140],[-941,52,140],[-939,51,141],[-938,48,140],[-937,48,138],[-937,48,140],[-940,50,141],[-944,52,141],[-942,55,143],[-942,56,142],[-941,56,141]],""t_device"":1756822377.922706,""seq"":205,""range_g"":4,""fs"":50,""type"":""acc"",""n"":18,""device"":""H10""}"
7021.8043970415,"{""uV"":[-14,-4,-24,-16,-7,-21,-9,-19,-16,-2,-21,-9,-7,-14,0,-14,-9,-2,-14,2,-7,-9,0,-19,-7,-4,-14,2,-16,-12,-2,-16,-7,-19,-21,-4,-24,-16,-19,-31,-16,-28,-21,-14,-33,-24,-33,-33,-7,-14,-4,-19,-36,-24,-38,-36,-28,-45,-33,-40,-45,-33,-48,-40,-57,-50,144,411,486,240,-43,-65,-48],""t_device"":1756822378.01351,""device"":""H10"",""fs"":130,""seq"":142,""type"":""ecg"",""n"":73}"
7021.827720749499,"{""type"":""hr"",""device"":""H10"",""seq"":81,""bpm"":73,""t_device"":1756822378.041174}"
7021.8284527495,"{""te"":1756822349.0383306,""ms"":778,""device"":""H10"",""t_device"":1756822378.041174,""seq"":96,""type"":""rr""}"
7022.0713897075,"{""range_g"":4,""t_device"":1756822378.282823,""device"":""H10"",""fs"":50,""seq"":207,""type"":""acc"",""mG"":[[-940,54,144],[-940,50,140],[-940,49,135],[-938,50,131],[-939,48,132],[-939,49,134],[-940,50,140],[-941,50,140],[-940,49,140],[-941,48,138],[-940,47,139],[-941,48,141],[-938,46,142],[-940,49,143],[-941,53,143],[-943,54,142],[-940,52,140],[-938,49,138]],""n"":18}"
7022.072461207501,"{""seq"":208,""mG"":[[-938,47,144],[-942,48,144],[-945,51,136],[-943,44,137],[-941,43,138],[-942,46,139],[-940,51,133],[-934,69,138],[-936,76,142],[-943,75,139],[-945,61,134],[-940,47,134],[-936,41,143],[-934,44,153],[-933,44,156],[-934,44,156],[-939,43,148],[-947,36,141]],""t_device"":1756822378.642823,""range_g"":4,""type"":""acc"",""fs"":50,""n"":18,""device"":""H10""}"
7022.447488416499,"{""type"":""ecg"",""t_device"":1756822378.5840302,""device"":""H10"",""uV"":[-93,-93,-86,-79,-81,-81,-67,-81,-77,-65,-74,-60,-65,-67,-48,-55,-43,-36,-38,-19,-21,-7,-4,-21,-4,-9,-16,-2,-21,-24,-33,-52,-48,-69,-81,-86,-110,-98,-103,-113,-103,-120,-118,-115,-127,-115,-132,-125,-118,-146,-137,-142,-154,-142,-163,-163,-163,-173,-154,-173,-171,-158,-190,-168,-168,-180,-166,-187,-168,-166,-197,-173,-185],""fs"":130,""n"":73,""seq"":143}"
7022.788584666499,"{""t_device"":1756822379.003114,""type"":""acc"",""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-943,34,137],[-940,35,140],[-937,36,137],[-934,40,140],[-938,43,140],[-939,38,142],[-942,33,144],[-939,29,144],[-940,31,146],[-940,32,145],[-942,33,145],[-942,34,145],[-944,31,146],[-942,31,147],[-940,30,146],[-938,34,144],[-940,36,145],[-941,37,145]],""n"":18,""seq"":210}"
7022.7894079995,"{""mG"":[[-943,35,148],[-940,37,147],[-935,46,145],[-933,56,145],[-933,58,142],[-933,51,142],[-933,48,144],[-935,48,141],[-934,41,143],[-931,35,150],[-935,33,154],[-940,31,147],[-939,32,150],[-941,32,154],[-941,42,154],[-941,53,151],[-943,55,148],[-947,48,142]],""t_device"":1756822379.3631139,""seq"":211,""range_g"":4,""fs"":50,""type"":""acc"",""n"":18,""device"":""H10""}"
7022.825955624499,"{""bpm"":73,""device"":""H10"",""t_device"":1756822379.0308309,""seq"":82,""type"":""hr""}"
7022.826276666499,"{""te"":1756822349.8443305,""type"":""rr"",""device"":""H10"",""seq"":97,""ms"":806,""t_device"":1756822379.0308309}"
7022.8264302914995,"{""te"":1756822350.6633306,""ms"":819,""device"":""H10"",""t_device"":1756822379.0308309,""seq"":98,""type"":""rr""}"
7022.9475011244995,"{""type"":""ecg"",""t_device"":1756822379.1528502,""device"":""H10"",""uV"":[-187,-168,-195,-175,-183,-207,-190,-202,-183,-171,-185,-163,-197,-207,-187,-219,-199,-197,-209,-187,-209,-197,-185,-211,-214,-221,-55,250,313,67,-197,-209,-154,-224,-211,-173,-199,-173,-168,-171,-163,-178,-146,-139,-149,-122,-132,-113,-101,-113,-81,-86,-79,-52,-69,-38,-28,-40,-21,-38,-21,-16,-43,-14,-28,-43,-43,-79,-57,-55,-72,-48,-65],""fs"":130,""n"":73,""seq"":144}"
7023.577214749501,"{""seq"":145,""t_device"":1756822379.722858,""uV"":[-57,-45,-65,-40,-50,-48,-26,-48,-31,-31,-48,-21,-38,-26,-14,-33,-9,-16,-19,-2,-26,-4,2,-9,14,-7,2,16,-9,7,0,2,19,-7,19,19,-2,26,7,9,16,-4,26,26,28,48,14,26,28,19,50,26,33,38,9,43,28,21,38,-4,103,378,599,527,158,-14,28,-9,-16,-12,-9,2,-24],""type"":""ecg"",""fs"":130,""n"":73,""device"":""H10""}"
7023.578223041501,"{""seq"":213,""t_device"":1756822379.7328792,""mG"":[[-944,36,137],[-936,25,136],[-933,21,142],[-933,23,142],[-931,31,146],[-930,44,153],[-933,59,156],[-936,59,157],[-939,53,160],[-941,48,163],[-944,41,158],[-943,39,155],[-939,37,148],[-934,32,143],[-932,29,135],[-935,26,130],[-940,25,132],[-941,26,137]],""range_g"":4,""type"":""acc"",""fs"":50,""n"":18,""device"":""H10""}"
7023.578639207501,"{""type"":""acc"",""t_device"":1756822380.092879,""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-942,29,142],[-942,41,147],[-943,59,147],[-943,77,148],[-943,79,147],[-941,71,145],[-937,48,144],[-937,31,145],[-940,28,145],[-942,30,141],[-941,33,137],[-941,40,138],[-940,47,138],[-943,54,129],[-941,49,129],[-940,47,139],[-942,53,143],[-941,48,138]],""n"":18,""seq"":214}"
7023.9019761245,"{""bpm"":73,""device"":""H10"",""t_device"":1756822380.020803,""seq"":83,""type"":""hr""}"
7023.902507582501,"{""type"":""rr"",""device"":""H10"",""ms"":828,""te"":1756822351.4913306,""seq"":99,""t_device"":1756822380.020803}"
7024.0172683745,"{""seq"":146,""t_device"":1756822380.231293,""uV"":[0,2,-16,12,-14,-4,16,-12,14,9,4,31,0,26,36,21,60,40,45,62,33,67,52,45,77,40,48,43,14,33,0,4,21,-12,16,7,-4,24,-9,4,12,-12,16,-9,-4,16,-14,12,0,-7,19,-19,-7,2,-24,4,-19,-14,4,-31,-4,-14,-28,2,-28,-14,-7,-33,-2,-24,-21,0,-38],""fs"":130,""type"":""ecg"",""n"":73,""device"":""H10""}"
