time_lsl,x_mG,y_mG,z_mG
774257.3652684982,816.0,-540.0,-7.0
774257.3849529427,813.0,-543.0,-7.0
774257.4046373874,816.0,-545.0,-4.0
774257.4243218319,810.0,-544.0,-2.0
774257.4440062764,810.0,-548.0,-4.0
774257.4636907211,814.0,-542.0,-6.0
774257.4833751656,815.0,-544.0,-3.0
774257.5030596103,815.0,-538.0,-8.0
774257.5227440548,810.0,-540.0,-8.0
774257.5424284994,808.0,-542.0,-7.0
774257.562112944,807.0,-547.0,-5.0
774257.5817973886,819.0,-549.0,-3.0
774257.6014818331,821.0,-541.0,-5.0
774257.6211662778,816.0,-538.0,-7.0
774257.6408507223,815.0,-541.0,-9.0
774257.660535167,808.0,-543.0,-8.0
774257.6802196115,810.0,-540.0,-4.0
774257.699904056,811.0,-545.0,-7.0
774257.7195885007,815.0,-549.0,-1.0
774257.7392729452,817.0,-546.0,-4.0
774257.7589573899,819.0,-543.0,-6.0
774257.7786418344,814.0,-540.0,-8.0
774257.798326279,815.0,-540.0,-7.0
774257.8180107236,813.0,-540.0,-4.0
774257.8376951682,808.0,-537.0,-8.0
774257.8573796127,810.0,-543.0,-6.0
774257.8770640574,815.0,-545.0,-1.0
774257.8967485019,820.0,-544.0,-7.0
774257.9164329466,816.0,-539.0,-6.0
774257.9361173911,812.0,-536.0,-5.0
774257.9558018357,811.0,-540.0,-6.0
774257.9754862803,810.0,-544.0,-3.0
774257.9951707248,810.0,-545.0,-6.0
774258.0148551695,810.0,-545.0,-2.0
774258.034539614,809.0,-548.0,-5.0
774258.0542240586,812.0,-541.0,-8.0
774258.0739085032,815.0,-543.0,-11.0
774258.0935929478,810.0,-545.0,-8.0
774258.1132773923,817.0,-541.0,-7.0
774258.132961837,815.0,-542.0,-9.0
774258.1526462815,812.0,-542.0,-9.0
774258.1723307262,812.0,-540.0,-5.0
774258.1920151707,815.0,-541.0,-7.0
774258.2116996153,811.0,-542.0,-6.0
774258.2313840599,813.0,-543.0,-8.0
774258.2510685045,816.0,-543.0,-10.0
774258.270752949,815.0,-542.0,-10.0
774258.2904373936,812.0,-540.0,-5.0
774258.3101218382,814.0,-541.0,-8.0
774258.3298062828,815.0,-543.0,-9.0
774258.3494907274,814.0,-543.0,-5.0
774258.369175172,813.0,-545.0,-9.0
774258.3888596166,812.0,-541.0,-11.0
774258.4085440611,816.0,-542.0,-7.0
774258.4282285058,817.0,-540.0,-4.0
