time_lsl,uV
567030.3978201286,-167.0
567030.4055755447,-165.0
567030.4133309608,-165.0
567030.4210863769,-170.0
567030.4288417931,-174.0
567030.4365972092,-174.0
567030.4443526253,-172.0
567030.4521080414,-172.0
567030.4598634575,-172.0
567030.4676188737,-177.0
567030.4753742898,-174.0
567030.4831297059,-170.0
567030.490885122,-167.0
567030.4986405381,-170.0
567030.5063959543,-174.0
567030.5141513704,-174.0
567030.5219067865,-172.0
567030.5296622026,-170.0
567030.5374176188,-170.0
567030.5451730349,-167.0
567030.552928451,-165.0
567030.5606838671,-167.0
567030.5684392832,-165.0
567030.5761946994,-162.0
567030.5839501155,-158.0
567030.5917055316,-155.0
567030.5994609477,-160.0
567030.6072163638,-170.0
567030.61497178,-170.0
567030.6227271961,-150.0
567030.6304826122,-129.0
567030.6382380283,-119.0
567030.6459934445,-129.0
567030.6537488606,-141.0
567030.6615042767,-150.0
567030.6692596928,-150.0
567030.6770151089,-148.0
567030.6847705251,-148.0
567030.6925259412,-150.0
567030.7002813573,-146.0
567030.7080367734,-146.0
567030.7157921895,-148.0
567030.7235476057,-148.0
567030.7313030218,-146.0
567030.7390584379,-143.0
567030.746813854,-146.0
567030.7545692701,-14.0
567030.7623246863,385.0
567030.7700801024,752.0
567030.7778355185,515.0
567030.7855909346,-177.0
567030.7933463508,-472.0
567030.8011017669,-251.0
567030.808857183,-162.0
567030.8166125991,-246.0
567030.8243680152,-222.0
567030.8321234314,-186.0
567030.8398788475,-210.0
567030.8476342636,-206.0
567030.8553896797,-184.0
567030.8631450958,-186.0
567030.870900512,-186.0
567030.8786559281,-174.0
567030.8864113442,-170.0
567030.8941667603,-167.0
567030.9019221765,-162.0
567030.9096775926,-158.0
567030.9174330087,-150.0
567030.9251884248,-141.0
567030.9329438409,-134.0
567030.9406992571,-124.0
567030.9484546732,-115.0
567030.9562100893,-105.0
567030.9639655054,-95.0
567030.9717209215,-91.0
567030.9794763377,-91.0
567030.9872317538,-88.0
567030.9949871699,-91.0
567031.002742586,-98.0
567031.0104980022,-110.0
567031.0182534183,-119.0
567031.0260088344,-131.0
567031.0337642505,-136.0
567031.0415196666,-136.0
567031.0492750828,-139.0
567031.0570304989,-143.0
567031.064785915,-148.0
567031.072541331,-160.0
567031.0802967472,-167.0
567031.0880521634,-172.0
567031.0958075795,-174.0
567031.1035629956,-177.0
567031.1113184117,-182.0
567031.1190738278,-179.0
567031.126829244,-174.0
567031.1345846601,-172.0
567031.1423400762,-167.0
567031.1500954923,-165.0
567031.1578509085,-165.0
567031.1656063246,-162.0
567031.1733617407,-158.0
567031.1811171568,-155.0
567031.1888725728,-155.0
567031.1966279891,-153.0
567031.2043834052,-153.0
567031.2121388213,-155.0
567031.2198942374,-153.0
567031.2276496534,-150.0
567031.2354050697,-150.0
567031.2431604858,-153.0
567031.2509159019,-155.0
567031.258671318,-155.0
567031.2664267342,-153.0
567031.2741821503,-150.0
567031.2819375664,-153.0
567031.2896929824,-153.0
567031.2974483985,-153.0
567031.3052038148,-155.0
567031.3129592309,-155.0
567031.320714647,-153.0
567031.328470063,-150.0
567031.3362254791,-150.0
567031.3439808954,-148.0
567031.3517363115,-148.0
567031.3594917275,-148.0
567031.3672471436,-146.0
567031.3750025599,-143.0
567031.382757976,-143.0
567031.390513392,-146.0
567031.3982688081,-146.0
567031.4060242242,-148.0
567031.4137796405,-153.0
567031.4215350566,-150.0
567031.4292904726,-131.0
567031.4370458887,-117.0
567031.4448013048,-119.0
567031.452556721,-129.0
567031.4603121371,-141.0
567031.4680675532,-146.0
567031.4758229693,-143.0
567031.4835783854,-141.0
567031.4913338016,-146.0
567031.4990892177,-146.0
567031.5068446338,-146.0
567031.5146000499,-148.0
567031.5223554661,-146.0
567031.5301108822,-143.0
567031.5378662983,-143.0
567031.5456217144,-150.0
567031.5533771305,-69.0
567031.5611325467,273.0
567031.5688879628,683.0
567031.5766433789,575.0
567031.584398795,-79.0
567031.5921542111,-467.0
567031.5999096273,-289.0
567031.6076650434,-150.0
567031.6154204595,-227.0
567031.6231758756,-225.0
567031.6309312918,-182.0
567031.638686708,-196.0
567031.646442124,-194.0
567031.6541975401,-174.0
567031.6619529562,-177.0
567031.6697083724,-177.0
567031.6774637885,-165.0
567031.6852192046,-158.0
567031.6929746207,-158.0
567031.7007300368,-150.0
567031.708485453,-141.0
567031.7162408691,-134.0
567031.7239962852,-127.0
567031.7317517013,-117.0
567031.7395071175,-107.0
567031.7472625336,-100.0
567031.7550179497,-93.0
567031.7627733658,-86.0
567031.7705287819,-76.0
567031.7782841981,-71.0
567031.7860396142,-71.0
567031.7937950303,-71.0
567031.8015504464,-76.0
567031.8093058625,-83.0
567031.8170612787,-93.0
567031.8248166948,-103.0
567031.8325721109,-110.0
567031.840327527,-112.0
567031.8480829431,-115.0
567031.8558383593,-122.0
567031.8635937754,-129.0
567031.8713491915,-139.0
567031.8791046076,-148.0
567031.8868600238,-158.0
567031.8946154399,-165.0
567031.902370856,-167.0
567031.9101262721,-167.0
567031.9178816882,-167.0
567031.9256371044,-165.0
567031.9333925205,-160.0
567031.9411479366,-160.0
567031.9489033527,-158.0
567031.9566587688,-155.0
567031.964414185,-158.0
567031.9721696011,-150.0
567031.9799250172,-143.0
567031.9876804333,-141.0
567031.9954358495,-146.0
567032.0031912656,-146.0
567032.0109466817,-141.0
567032.0187020978,-136.0
567032.0264575139,-131.0
567032.0342129301,-134.0
567032.0419683462,-136.0
567032.0497237623,-136.0
567032.0574791784,-141.0
567032.0652345945,-146.0
567032.0729900107,-143.0
567032.0807454268,-136.0
567032.0885008429,-134.0
567032.096256259,-134.0
567032.1040116752,-134.0
567032.1117670913,-136.0
567032.1195225074,-139.0
567032.1272779235,-134.0
567032.1350333396,-131.0
567032.1427887558,-136.0
567032.1505441719,-136.0
567032.158299588,-134.0
567032.1660550041,-129.0
567032.1738104202,-122.0
567032.1815658364,-122.0
567032.1893212525,-124.0
567032.1970766686,-122.0
567032.2048320847,-122.0
567032.2125875009,-129.0
567032.220342917,-136.0
567032.2280983331,-119.0
567032.2358537492,-95.0
567032.2436091653,-88.0
567032.2513645815,-91.0
567032.2591199976,-98.0
567032.2668754137,-112.0
567032.2746308298,-115.0
567032.2823862459,-110.0
567032.2901416621,-112.0
567032.2978970782,-115.0
567032.3056524943,-112.0
567032.3134079104,-112.0
567032.3211633265,-115.0
567032.3289187427,-110.0
567032.3366741588,-105.0
567032.3444295749,-110.0
567032.352184991,-110.0
567032.3599404072,-2.0
567032.3676958233,364.0
567032.3754512394,735.0
567032.3832066555,510.0
567032.3909620716,-177.0
567032.3987174878,-443.0
567032.4064729039,-210.0
567032.41422832,-124.0
567032.4219837361,-198.0
567032.4297391522,-167.0
567032.4374945684,-141.0
567032.4452499845,-170.0
567032.4530054006,-153.0
567032.4607608167,-127.0
567032.4685162329,-136.0
567032.476271649,-139.0
567032.4840270651,-127.0
567032.4917824812,-122.0
567032.4995378973,-117.0
567032.5072933135,-107.0
567032.5150487296,-105.0
567032.5228041457,-95.0
567032.5305595618,-86.0
567032.5383149779,-83.0
567032.5460703941,-74.0
567032.5538258102,-59.0
567032.5615812263,-52.0
567032.5693366424,-43.0
