time_lsl,ch1,ch2,ch3,ch4
567060.3537349566,398936.0,432297.0,446974.0,174483.0
567060.3720608486,399069.0,432531.0,447219.0,174491.0
567060.3903867407,399196.0,432716.0,447379.0,174521.0
567060.4087126327,399405.0,432909.0,447593.0,174492.0
567060.4270385249,399615.0,433189.0,447827.0,174515.0
567060.4453644169,399730.0,433317.0,448053.0,174513.0
567060.463690309,399866.0,433601.0,448330.0,174488.0
567060.482016201,400060.0,433797.0,448569.0,174488.0
567060.5003420931,400210.0,434006.0,448772.0,174413.0
567060.5186679851,400367.0,434184.0,448969.0,174513.0
567060.5369938773,400430.0,434332.0,449181.0,174464.0
567060.5553197693,400553.0,434524.0,449348.0,174471.0
567060.5736456614,400679.0,434697.0,449541.0,174481.0
567060.5919715534,400913.0,434899.0,449792.0,174461.0
567060.6102974454,401120.0,435163.0,450011.0,174526.0
567060.6286233375,401306.0,435344.0,450263.0,174510.0
567060.6469492296,401470.0,435623.0,450469.0,174486.0
567060.6652751217,401521.0,435825.0,450659.0,174473.0
567060.6836010137,401566.0,435842.0,450661.0,174487.0
567060.7019269058,401395.0,435668.0,450489.0,174464.0
567060.7202527978,401085.0,435166.0,450018.0,174475.0
567060.7385786899,400606.0,434555.0,449488.0,174533.0
567060.756904582,400028.0,433888.0,448802.0,174483.0
567060.7752304741,399518.0,433165.0,448174.0,174422.0
567060.7935563661,399016.0,432510.0,447560.0,174404.0
567060.8118822582,398539.0,431826.0,446982.0,174436.0
567060.8302081502,398116.0,431314.0,446499.0,174474.0
567060.8485340424,397740.0,430798.0,446003.0,174525.0
567060.8668599344,397370.0,430325.0,445639.0,174499.0
567060.8851858265,397095.0,429969.0,445306.0,174510.0
567060.9035117185,396984.0,429778.0,445161.0,174509.0
567060.9218376105,396954.0,429761.0,445145.0,174488.0
567060.9401635026,397010.0,429776.0,445192.0,174447.0
567060.9584893947,397089.0,429870.0,445339.0,174473.0
567060.9768152868,397168.0,429923.0,445393.0,174538.0
567060.9951411788,397225.0,429972.0,445479.0,174558.0
567061.0134670709,397227.0,430021.0,445564.0,174495.0
567061.0317929629,397340.0,430182.0,445703.0,174496.0
567061.050118855,397448.0,430251.0,445843.0,174534.0
567061.0684447471,397444.0,430273.0,445881.0,174450.0
567061.0867706392,397525.0,430491.0,446057.0,174433.0
567061.1050965312,397659.0,430649.0,446177.0,174414.0
567061.1234224233,397831.0,430799.0,446416.0,174423.0
567061.1417483153,397991.0,431040.0,446581.0,174457.0
567061.1600742073,398163.0,431247.0,446786.0,174481.0
567061.1784000995,398211.0,431414.0,446990.0,174458.0
567061.1967259916,398354.0,431692.0,447206.0,174471.0
567061.2150518836,398552.0,431978.0,447436.0,174460.0
567061.2333777756,398799.0,432247.0,447692.0,174507.0
567061.2517036677,398939.0,432370.0,447829.0,174417.0
567061.2700295597,399110.0,432649.0,448160.0,174458.0
567061.2883554519,399328.0,432898.0,448386.0,174420.0
567061.3066813439,399505.0,433184.0,448655.0,174516.0
567061.325007236,399609.0,433367.0,448798.0,174468.0
567061.343333128,399785.0,433621.0,449109.0,174468.0
567061.3616590201,399981.0,433838.0,449242.0,174511.0
567061.3799849121,400092.0,434077.0,449490.0,174475.0
567061.3983108043,400322.0,434302.0,449771.0,174506.0
567061.4166366963,400518.0,434617.0,450002.0,174488.0
567061.4349625884,400725.0,434890.0,450268.0,174434.0
567061.4532884804,401003.0,435235.0,450562.0,174500.0
567061.4716143725,401068.0,435473.0,450838.0,174462.0
567061.4899402645,401258.0,435616.0,450927.0,174436.0
567061.5082661567,401165.0,435617.0,450925.0,174448.0
567061.5265920487,401013.0,435279.0,450651.0,174456.0
567061.5449179407,400622.0,434827.0,450079.0,174456.0
567061.5632438328,400117.0,434238.0,449495.0,174478.0
567061.5815697248,399680.0,433632.0,448979.0,174506.0
567061.5998956169,399211.0,432979.0,448445.0,174501.0
567061.618221509,398717.0,432381.0,447831.0,174494.0
567061.6365474011,398301.0,431790.0,447281.0,174525.0
567061.6548732931,397922.0,431285.0,446813.0,174524.0
567061.6731991852,397607.0,430875.0,446402.0,174524.0
567061.6915250772,397289.0,430411.0,446042.0,174485.0
567061.7098509694,397055.0,430136.0,445802.0,174511.0
567061.7281768614,397016.0,430086.0,445726.0,174495.0
567061.7465027535,397118.0,430096.0,445795.0,174530.0
567061.7648286455,397177.0,430165.0,445958.0,174539.0
567061.7831545376,397240.0,430286.0,446061.0,174481.0
567061.8014804296,397304.0,430392.0,446192.0,174498.0
567061.8198063218,397488.0,430553.0,446283.0,174496.0
567061.8381322138,397569.0,430692.0,446453.0,174441.0
567061.8564581058,397641.0,430833.0,446599.0,174519.0
567061.8747839979,397802.0,430962.0,446805.0,174541.0
567061.8931098899,397984.0,431223.0,446993.0,174490.0
567061.911435782,398134.0,431434.0,447232.0,174495.0
567061.9297616741,398256.0,431674.0,447402.0,174519.0
567061.9480875662,398521.0,431907.0,447680.0,174501.0
567061.9664134582,398648.0,432177.0,447908.0,174476.0
567061.9847393503,398894.0,432422.0,448161.0,174499.0
567062.0030652423,399121.0,432727.0,448425.0,174532.0
567062.0213911344,399296.0,432975.0,448711.0,174533.0
567062.0397170265,399482.0,433316.0,448979.0,174505.0
567062.0580429186,399775.0,433620.0,449336.0,174517.0
567062.0763688106,400002.0,433913.0,449610.0,174553.0
567062.0946947027,400227.0,434168.0,449847.0,174501.0
567062.1130205947,400408.0,434456.0,450125.0,174482.0
567062.1313464867,400570.0,434740.0,450399.0,174505.0
567062.1496723789,400758.0,435055.0,450673.0,174496.0
567062.167998271,401092.0,435374.0,450985.0,174581.0
567062.186324163,401217.0,435589.0,451212.0,174535.0
567062.204650055,401490.0,435900.0,451551.0,174542.0
567062.2229759471,401675.0,436203.0,451812.0,174524.0
567062.2413018391,401835.0,436478.0,452041.0,174520.0
567062.2596277313,402028.0,436705.0,452307.0,174465.0
567062.2779536233,402232.0,437038.0,452570.0,174442.0
567062.2962795154,402504.0,437361.0,452926.0,174465.0
567062.3146054074,402706.0,437642.0,453215.0,174460.0
567062.3329312995,402779.0,437767.0,453245.0,174512.0
567062.3512571915,402653.0,437717.0,453201.0,174505.0
567062.3695830837,402382.0,437311.0,452694.0,174461.0
567062.3879089757,401970.0,436712.0,452147.0,174490.0
567062.4062348678,401440.0,436047.0,451542.0,174469.0
567062.4245607598,400932.0,435342.0,450845.0,174452.0
567062.4428866518,400418.0,434675.0,450238.0,174503.0
567062.4612125439,399827.0,433971.0,449585.0,174506.0
567062.479538436,399356.0,433246.0,448965.0,174513.0
567062.4978643281,398887.0,432654.0,448381.0,174487.0
567062.5161902201,398480.0,432080.0,447853.0,174456.0
567062.5345161122,398158.0,431691.0,447511.0,174482.0
567062.5528420042,397863.0,431328.0,447171.0,174429.0
567062.5711678964,397800.0,431096.0,447007.0,174490.0
567062.5894937884,397865.0,431129.0,447128.0,174527.0
567062.6078196805,397891.0,431140.0,447171.0,174521.0
567062.6261455725,398021.0,431268.0,447256.0,174526.0
567062.6444714646,398141.0,431374.0,447417.0,174562.0
567062.6627973566,398194.0,431477.0,447529.0,174538.0
567062.6811232488,398384.0,431686.0,447711.0,174561.0
567062.6994491408,398524.0,431840.0,447917.0,174495.0
567062.7177750329,398576.0,431962.0,448032.0,174544.0
567062.7361009249,398716.0,432143.0,448186.0,174501.0
567062.754426817,398941.0,432409.0,448427.0,174558.0
567062.772752709,399084.0,432624.0,448621.0,174501.0
567062.7910786011,399318.0,432960.0,448888.0,174523.0
567062.8094044932,399574.0,433212.0,449197.0,174552.0
567062.8277303852,399742.0,433484.0,449434.0,174532.0
567062.8460562773,399980.0,433832.0,449697.0,174512.0
567062.8643821693,400122.0,433985.0,449907.0,174503.0
567062.8827080614,400281.0,434243.0,450113.0,174479.0
567062.9010339535,400546.0,434547.0,450457.0,174544.0
567062.9193598456,400709.0,434825.0,450760.0,174529.0
567062.9376857376,400903.0,435118.0,451001.0,174493.0
567062.9560116297,401137.0,435448.0,451271.0,174543.0
567062.9743375217,401390.0,435732.0,451613.0,174552.0
567062.9926634138,401550.0,435959.0,451862.0,174523.0
567063.0109893059,401798.0,436258.0,452146.0,174525.0
