time_lsl,x_mG,y_mG,z_mG
774271.1971384917,-932.0,-20.0,173.0
774271.2168987129,-931.0,-19.0,179.0
774271.236658934,-937.0,-18.0,180.0
774271.2564191553,-937.0,-20.0,176.0
774271.2761793765,-933.0,-21.0,178.0
774271.2959395978,-931.0,-20.0,182.0
774271.3156998189,-932.0,-20.0,181.0
774271.3354600401,-935.0,-19.0,180.0
774271.3552202614,-935.0,-21.0,180.0
774271.3749804825,-935.0,-20.0,177.0
774271.3947407037,-933.0,-19.0,175.0
774271.414500925,-933.0,-20.0,178.0
774271.4342611462,-933.0,-19.0,180.0
774271.4540213674,-934.0,-21.0,182.0
774271.4737815886,-934.0,-20.0,182.0
774271.4935418098,-933.0,-20.0,184.0
774271.513302031,-935.0,-21.0,182.0
774271.5330622522,-934.0,-21.0,181.0
774271.5528224735,-932.0,-20.0,177.0
774271.5725826947,-933.0,-19.0,175.0
774271.5923429158,-932.0,-19.0,174.0
774271.6121031371,-934.0,-19.0,172.0
774271.6318633583,-933.0,-20.0,176.0
774271.6516235796,-933.0,-19.0,176.0
774271.6713838007,-935.0,-20.0,177.0
774271.6911440219,-933.0,-19.0,175.0
774271.7109042432,-932.0,-20.0,178.0
774271.7306644643,-932.0,-19.0,178.0
774271.7504246855,-932.0,-19.0,179.0
774271.7701849068,-933.0,-19.0,177.0
774271.789945128,-935.0,-19.0,177.0
774271.8097053492,-935.0,-20.0,180.0
774271.8294655704,-934.0,-20.0,178.0
774271.8492257916,-932.0,-21.0,179.0
774271.8689860129,-933.0,-19.0,179.0
774271.888746234,-933.0,-20.0,181.0
774271.9085064552,-933.0,-19.0,182.0
774271.9282666765,-933.0,-19.0,177.0
774271.9480268976,-933.0,-20.0,177.0
774271.9677871189,-933.0,-20.0,182.0
774271.9875473401,-935.0,-19.0,180.0
774272.0073075613,-935.0,-20.0,170.0
774272.0270677825,-932.0,-22.0,180.0
774272.0468280037,-932.0,-20.0,181.0
774272.066588225,-935.0,-20.0,179.0
774272.0863484462,-933.0,-20.0,171.0
774272.1061086673,-930.0,-18.0,177.0
774272.1258688886,-934.0,-17.0,181.0
774272.1456291098,-938.0,-18.0,177.0
774272.1653893309,-936.0,-21.0,177.0
774272.1851495522,-930.0,-21.0,181.0
774272.2049097734,-931.0,-20.0,179.0
774272.2246699947,-934.0,-19.0,179.0
774272.2444302158,-935.0,-19.0,181.0
774272.264190437,-934.0,-20.0,177.0
774272.2839506583,-933.0,-19.0,177.0
774272.3037108795,-933.0,-19.0,180.0
774272.3234711007,-933.0,-20.0,180.0
774272.3432313219,-936.0,-18.0,185.0
774272.3629915431,-934.0,-19.0,180.0
774272.3827517643,-932.0,-19.0,185.0
774272.4025119855,-934.0,-20.0,182.0
774272.4222722067,-933.0,-19.0,178.0
774272.442032428,-934.0,-20.0,179.0
774272.4617926491,-932.0,-19.0,176.0
774272.4815528704,-932.0,-18.0,177.0
774272.5013130916,-934.0,-19.0,176.0
774272.5210733127,-933.0,-19.0,174.0
774272.540833534,-934.0,-20.0,178.0
774272.5605937552,-934.0,-19.0,180.0
774272.5803539765,-933.0,-20.0,178.0
774272.6001141976,-932.0,-19.0,177.0
774272.6198744188,-933.0,-19.0,178.0
774272.6396346401,-932.0,-19.0,178.0
774272.6593948613,-934.0,-19.0,176.0
774272.6791550824,-935.0,-19.0,176.0
774272.6989153037,-934.0,-20.0,179.0
774272.7186755249,-934.0,-20.0,181.0
774272.738435746,-933.0,-20.0,181.0
774272.7581959673,-934.0,-19.0,182.0
774272.7779561885,-933.0,-19.0,183.0
